,Experiment name:,Amarillo_25
Duration:,5 Seconds
Rate:,100 per second
Sensors:,Colorimeter (ID 1  Exp 1)
Range:,Blue Abs
Units:,abs
Time
'3.88578058619e-16,0.50
'0.01,0.50
'0.02,0.50
'0.03,0.50
'0.04,0.50
'0.05,0.50
'0.06,0.50
'0.07,0.50
'0.08,0.50
'0.09,0.50
'0.1,0.50
'0.11,0.50
'0.12,0.50
'0.13,0.50
'0.14,0.50
'0.15,0.50
'0.16,0.50
'0.17,0.50
'0.18,0.50
'0.19,0.50
'0.2,0.50
'0.21,0.50
'0.22,0.50
'0.23,0.50
'0.24,0.50
'0.25,0.50
'0.26,0.50
'0.27,0.50
'0.28,0.50
'0.29,0.50
'0.3,0.50
'0.31,0.50
'0.32,0.50
'0.33,0.50
'0.34,0.50
'0.35,0.50
'0.36,0.50
'0.37,0.50
'0.38,0.50
'0.39,0.50
'0.4,0.50
'0.41,0.50
'0.42,0.50
'0.43,0.50
'0.44,0.50
'0.45,0.50
'0.46,0.50
'0.47,0.50
'0.48,0.50
'0.49,0.50
'0.5,0.50
'0.51,0.50
'0.52,0.50
'0.53,0.50
'0.54,0.50
'0.55,0.50
'0.56,0.50
'0.57,0.50
'0.58,0.50
'0.59,0.50
'0.6,0.50
'0.61,0.50
'0.62,0.50
'0.63,0.50
'0.64,0.50
'0.65,0.50
'0.66,0.50
'0.67,0.50
'0.68,0.50
'0.69,0.50
'0.7,0.50
'0.71,0.50
'0.72,0.50
'0.73,0.50
'0.74,0.50
'0.75,0.50
'0.76,0.50
'0.77,0.50
'0.78,0.50
'0.79,0.50
'0.8,0.50
'0.81,0.50
'0.82,0.50
'0.83,0.50
'0.84,0.50
'0.85,0.50
'0.86,0.50
'0.87,0.50
'0.88,0.50
'0.89,0.50
'0.9,0.50
'0.91,0.50
'0.92,0.50
'0.93,0.50
'0.94,0.50
'0.95,0.50
'0.96,0.50
'0.97,0.50
'0.98,0.50
'0.99,0.50
'1.0,0.50
'1.01,0.50
'1.02,0.50
'1.03,0.50
'1.04,0.50
'1.05,0.50
'1.06,0.50
'1.07,0.50
'1.08,0.50
'1.09,0.50
'1.1,0.50
'1.11,0.50
'1.12,0.50
'1.13,0.50
'1.14,0.50
'1.15,0.50
'1.16,0.50
'1.17,0.50
'1.18,0.50
'1.19,0.50
'1.2,0.50
'1.21,0.50
'1.22,0.50
'1.23,0.50
'1.24,0.50
'1.25,0.50
'1.26,0.50
'1.27,0.50
'1.28,0.50
'1.29,0.50
'1.3,0.50
'1.31,0.50
'1.32,0.50
'1.33,0.50
'1.34,0.50
'1.35,0.50
'1.36,0.50
'1.37,0.50
'1.38,0.50
'1.39,0.50
'1.4,0.50
'1.41,0.50
'1.42,0.50
'1.43,0.50
'1.44,0.50
'1.45,0.50
'1.46,0.50
'1.47,0.50
'1.48,0.50
'1.49,0.50
'1.5,0.50
'1.51,0.50
'1.52,0.50
'1.53,0.50
'1.54,0.50
'1.55,0.50
'1.56,0.50
'1.57,0.50
'1.58,0.50
'1.59,0.50
'1.6,0.50
'1.61,0.50
'1.62,0.50
'1.63,0.50
'1.64,0.50
'1.65,0.50
'1.66,0.50
'1.67,0.50
'1.68,0.50
'1.69,0.50
'1.7,0.50
'1.71,0.50
'1.72,0.50
'1.73,0.50
'1.74,0.50
'1.75,0.50
'1.76,0.50
'1.77,0.50
'1.78,0.50
'1.79,0.50
'1.8,0.50
'1.81,0.50
'1.82,0.50
'1.83,0.50
'1.84,0.50
'1.85,0.50
'1.86,0.50
