,Experiment name:,Azul_75
Duration:,5 Seconds
Rate:,100 per second
Sensors:,Colorimeter (ID 1  Exp 1)
Range:,Blue Abs
Units:,abs
Time
'3.88578058619e-16,2.25
'0.01,2.25
'0.02,2.25
'0.03,2.25
'0.04,2.25
'0.05,2.25
'0.06,2.25
'0.07,2.25
'0.08,2.25
'0.09,2.25
'0.1,2.25
'0.11,2.25
'0.12,2.25
'0.13,2.25
'0.14,2.25
'0.15,2.25
'0.16,2.25
'0.17,2.25
'0.18,2.25
'0.19,2.25
'0.2,2.25
'0.21,2.25
'0.22,2.25
'0.23,2.25
'0.24,2.25
'0.25,2.25
'0.26,2.25
'0.27,2.25
'0.28,2.25
'0.29,2.25
'0.3,2.25
'0.31,2.25
'0.32,2.25
'0.33,2.25
'0.34,2.25
'0.35,2.25
'0.36,2.25
'0.37,2.25
'0.38,2.25
'0.39,2.25
'0.4,2.25
'0.41,2.25
'0.42,2.25
'0.43,2.25
'0.44,2.25
'0.45,2.25
'0.46,2.25
'0.47,2.25
'0.48,2.25
'0.49,2.25
'0.5,2.25
'0.51,2.25
'0.52,2.25
'0.53,2.25
'0.54,2.25
'0.55,2.25
'0.56,2.25
'0.57,2.25
'0.58,2.25
'0.59,2.25
'0.6,2.25
'0.61,2.25
'0.62,2.25
'0.63,2.25
'0.64,2.25
'0.65,2.25
'0.66,2.25
'0.67,2.25
'0.68,2.25
'0.69,2.25
'0.7,2.25
'0.71,2.25
'0.72,2.25
'0.73,2.25
'0.74,2.25
'0.75,2.25
'0.76,2.25
'0.77,2.25
'0.78,2.25
'0.79,2.25
'0.8,2.25
'0.81,2.25
'0.82,2.25
'0.83,2.25
'0.84,2.25
'0.85,2.25
'0.86,2.25
'0.87,2.25
'0.88,2.25
'0.89,2.25
'0.9,2.25
'0.91,2.25
'0.92,2.25
'0.93,2.25
'0.94,2.25
'0.95,2.25
'0.96,2.25
'0.97,2.25
'0.98,2.25
'0.99,2.25
'1.0,2.25
'1.01,2.25
'1.02,2.25
'1.03,2.25
'1.04,2.25
'1.05,2.25
'1.06,2.25
'1.07,2.25
'1.08,2.25
'1.09,2.25
'1.1,2.25
'1.11,2.25
'1.12,2.25
'1.13,2.25
'1.14,2.25
'1.15,2.25
'1.16,2.25
'1.17,2.25
'1.18,2.25
'1.19,2.25
'1.2,2.25
'1.21,2.25
'1.22,2.25
'1.23,2.25
'1.24,2.25
'1.25,2.25
'1.26,2.25
'1.27,2.25
'1.28,2.25
'1.29,2.25
'1.3,2.25
'1.31,2.25
'1.32,2.25
'1.33,2.25
'1.34,2.25
'1.35,2.25
'1.36,2.25
'1.37,2.25
'1.38,2.25
'1.39,2.25
'1.4,2.25
'1.41,2.25
'1.42,2.25
'1.43,2.25
'1.44,2.25
'1.45,2.25
'1.46,2.25
'1.47,2.25
'1.48,2.25
'1.49,2.25
'1.5,2.25
'1.51,2.25
'1.52,2.25
'1.53,2.25
'1.54,2.25
'1.55,2.25
'1.56,2.25
'1.57,2.25
'1.58,2.25
'1.59,2.25
'1.6,2.25
'1.61,2.25
'1.62,2.25
'1.63,2.25
'1.64,2.25
'1.65,2.25
'1.66,2.25
'1.67,2.25
'1.68,2.25
'1.69,2.25
'1.7,2.25
'1.71,2.25
'1.72,2.25
'1.73,2.25
'1.74,2.25
'1.75,2.25
'1.76,2.25
'1.77,2.25
'1.78,2.25
'1.79,2.25
'1.8,2.25
'1.81,2.25
'1.82,2.25
'1.83,2.25
'1.84,2.25
'1.85,2.25
'1.86,2.25
